country,iso3,electricity_price_eur_mwh,gas_price_eur_mwh,renewable_power_price_eur_mwh,gas_heat_cost_eur_mwh,low_temp_hp_lcoh_eur_mwh,steam_hp_lcoh_eur_mwh,thermal_storage_lcoh_eur_mwh,weighted_electric_heat_lcoh_eur_mwh
Austria,AUT,163.20000000000002,53.199999999999996,58,81.36235294117647,72.44444444444446,108.66666666666667,81.04347826086956,84.07971014492755
Belgium,BEL,131.1,39.9,60,65.71529411764706,60.55555555555555,90.83333333333333,83.21739130434783,74.92355072463768
Bulgaria,BGR,133.3,36.1,48,61.244705882352946,61.370370370370374,92.05555555555556,70.17391304347825,71.68272946859904
Croatia,HRV,124.8,44.3,50,70.89176470588235,58.22222222222222,87.33333333333333,72.34782608695652,69.73768115942029
Cyprus,CYP,228.0,48.300000000000004,52,75.59764705882353,96.44444444444444,144.66666666666666,74.52173913043478,101.92318840579709
Czechia,CZE,164.0,48.4,58,75.71529411764706,72.74074074074073,109.11111111111111,81.04347826086956,84.32415458937199
Denmark,DNK,116.3,49.6,45,77.12705882352941,55.07407407407407,82.61111111111111,66.91304347826087,65.51002415458937
Estonia,EST,112.19999999999999,45.5,48,72.30352941176471,53.55555555555555,80.33333333333333,70.17391304347825,65.23550724637681
Finland,FIN,50.0,76.39999999999999,43,108.6564705882353,30.51851851851852,45.77777777777778,64.73913043478261,44.599516908212564
France,FRA,85.3,44.8,52,71.47999999999999,43.59259259259259,65.38888888888889,74.52173913043478,58.32041062801932
Germany,DEU,159.5,54.6,58,83.00941176470587,71.07407407407408,106.61111111111111,81.04347826086956,82.94915458937199
Greece,GRC,146.5,37.900000000000006,46,63.362352941176475,66.25925925925925,99.38888888888889,68.0,75.06388888888888
Hungary,HUN,167.1,47.300000000000004,53,74.42117647058825,73.88888888888889,110.83333333333333,75.6086956521739,83.6409420289855
Ireland,IRL,197.0,45.699999999999996,52,72.53882352941176,84.96296296296296,127.44444444444444,74.52173913043478,92.45096618357488
Italy,ITA,164.3,45.3,50,72.06823529411764,72.85185185185185,109.27777777777779,72.34782608695652,81.80712560386473
Latvia,LVA,101.7,49.7,47,77.24470588235295,49.666666666666664,74.5,69.08695652173913,61.701086956521735
Lithuania,LTU,119.9,49.8,47,77.36235294117647,56.407407407407405,84.61111111111111,69.08695652173913,67.26219806763285
Luxembourg,LUX,112.4,65.69999999999999,60,96.06823529411764,53.629629629629626,80.44444444444444,83.21739130434783,69.20966183574879
Malta,MLT,104.6,48.300000000000004,55,75.59764705882353,50.74074074074073,76.11111111111111,77.78260869565217,65.19589371980676
Netherlands,NLD,116.6,56.9,56,85.71529411764706,55.18518518518518,82.77777777777777,78.86956521739131,69.18864734299517
Poland,POL,163.3,51.4,55,79.24470588235295,72.48148148148148,108.72222222222223,77.78260869565217,83.13200483091788
Portugal,PRT,105.39999999999999,41.8,45,67.9505882352941,51.03703703703703,76.55555555555554,66.91304347826087,62.17946859903381
Romania,ROU,161.5,41.9,50,68.06823529411764,71.81481481481481,107.72222222222221,72.34782608695652,80.95157004830918
Slovakia,SVK,174.6,53.8,56,82.06823529411764,76.66666666666666,115.0,78.86956521739131,86.9108695652174
Slovenia,SVN,130.3,48.9,54,76.30352941176471,60.25925925925926,90.3888888888889,76.69565217391303,72.7225845410628
Spain,ESP,108.5,39.300000000000004,44,65.00941176470589,52.18518518518518,78.27777777777777,65.82608695652173,62.8006038647343
Sweden,SWE,72.2,87.8,42,122.06823529411764,38.74074074074074,58.111111111111114,63.65217391304348,51.056763285024154
