sector,electricity_price_eur_mwh,gas_price_eur_mwh,renewable_power_price_eur_mwh,gas_heat_cost_eur_mwh,low_temp_hp_lcoh_eur_mwh,steam_hp_lcoh_eur_mwh,thermal_storage_lcoh_eur_mwh,weighted_electric_heat_lcoh_eur_mwh
Cement,142.6252019221844,47.80255197491521,52.26599517297811,75.01241408813554,64.82414886006829,97.23622329010243,74.81086431845448,75.92318210509268
Ceramics and glass,138.2446578134565,47.13623976018573,51.91013575893273,74.2285173649244,63.20172511609499,94.80258767414247,74.42406060753557,74.46864140303906
Chemicals,133.6023783842812,50.228423208825895,54.094394964588766,77.86638024567752,61.48236236454861,92.2235435468229,76.79825539629213,73.76242556964024
Construction,128.8046674175215,50.35096311366394,52.16928255764479,78.01054483960465,59.7054323768598,89.55814856528973,74.70574191048347,71.6687042840544
"Food, beverages and tobacco",132.5701764983773,48.39818431312071,52.50769336842569,75.71315801543614,61.10006536976935,91.65009805465404,75.0735797482888,72.92962785454637
Machinery and equipment,143.16029612468284,50.424242898175535,53.17597115054553,78.09675635079475,65.02233189803069,97.53349784704604,75.79996864189731,76.38341440844451
Mining and quarrying,121.11007337093453,54.677531458590835,49.68844915642367,83.10062524540096,56.855582729975765,85.28337409496365,72.00918386567791,68.50861091193336
Non-ferrous metals,140.41476911048917,48.52542492494378,52.29505268411742,75.86285285287504,64.0054700409219,96.00820506138288,74.84244856969286,75.25724735466842
Other industry,115.14280415525316,64.50730725456694,49.05457388078695,94.66506735831405,54.64548302046414,81.96822453069622,71.32018900085538,66.47858019213953
Primary steel,141.6438843257788,52.389504244744664,54.60404128448488,80.40882852322902,64.46069789843659,96.69104684765489,77.35221878748358,76.38574140245527
Pulp and paper,116.7928850996729,56.66229285201614,50.31061915348998,85.43563864943076,55.256624110989954,82.88493616648493,72.68545560161954,67.39235157205258
Secondary steel,141.1900416372123,48.03260412021639,51.21414612921668,75.28306367084281,64.29260801378234,96.43891202067351,73.66755014045292,75.1416666535063
Textiles and leather,140.76822543758422,46.51225233736415,51.11592957074208,73.49441451454607,64.13637979169788,96.2045696875468,73.56079301167617,74.98075123165358
Transport equipment,140.8310910145882,50.37012038488197,53.56264194087574,78.03308280574349,64.15966333873637,96.23949500810457,76.22026297921278,75.79780114822134
Wood and wood products,130.21004780431053,53.1014338280207,51.58852845447806,81.24639273884787,60.22594363122612,90.33891544683917,74.07448745051963,71.90874973091745
