country_corrected,sites,annual_output_mt,heat_demand_twh,replaceable_heat_twh,heat_demand_tj,replaceable_heat_tj,avg_fossil_share,replaceable_share
Sweden,18,8.024416731099999,30.576601659957998,0.6785299437290947,110075.7659758488,2442.707797424741,0.023244444444444443,0.022191149666500473
Portugal,9,3.950163856522,14.339869244150002,2.163113489308714,51623.529278940005,7787.20856151137,0.18461111111111111,0.1508461097154818
France,10,3.8593734366350008,12.663823767217503,3.16781057208264,45589.765561983,11404.118059497503,0.27287,0.25014645104925304
Germany,14,3.266491959298999,8.0898309738527,2.7202098093684834,29123.39150586972,9792.75531372654,0.3614285714285714,0.33625051229877684
Poland,4,1.9984194059799998,7.806217255753,2.248307958693696,28102.382120710798,8093.9086512973045,0.28935,0.2880150378900543
Italy,3,1.7492132910699998,5.305695659115,2.8013354545213263,19100.504372814,10084.807636276775,0.49303333333333327,0.527986457291181
Spain,3,1.11884967149,4.961188159630001,2.5428146741061637,17860.277374668,9154.13282678219,0.5672,0.5125414703674137
Czechia,3,1.2381223269100001,4.35869764315,0.0,15691.31151534,0.0,,0.0
Austria,6,1.78598547352,3.9860319953839998,0.708372784638277,14349.7151833824,2550.142024697797,0.1018,0.17771377285947626
Belgium,2,0.58114022376,2.9057011187999997,0.11390348385696,10460.52402768,410.0525418850559,0.0392,0.039200000000000006
Norway,4,0.936682395862,1.6841475145879,0.1642468706732931,6062.93105251644,591.2887344238552,0.1099,0.09752522819444547
Bulgaria,3,0.27846248000400003,1.2066707466839999,0.0,4344.0146880624,0.0,,0.0
Slovakia,2,0.232540401498,1.02317776659,0.041578223787305996,3683.439959724,149.68160563430158,0.0894,0.040636363635887046
Hungary,1,0.6031769969499999,0.784130096035,0.24457017695331648,2822.868345726,880.4526370319394,0.3119,0.3119
United Kingdom,2,0.168553111103,0.7695425555039,0.0,2770.35319981404,0.0,,0.0
Greece,1,0.49008130998000005,0.637105702974,0.0,2293.5805307064,0.0,,0.0
Slovenia,1,0.046508080301,0.232540401505,0.1410822615930835,837.1454454179999,507.89614173510057,0.6067,0.6067000000000001
Netherlands,1,0.17514236629000002,0.227685076177,0.0,819.6662742372,0.0,,0.0
United States,1,0.07376621161899999,0.0958960751047,0.0,345.22587037691994,0.0,,0.0
