subsector,AUT,BEL,BGR,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ITA,LTU,LUX,LVA,NLD,POL,PRT,ROU,SVK,SVN,SWE,Total
aluminum,0,0,0,0,0,6,0,3,0,0,7,1,2,0,0,2,0,0,0,0,1,0,0,3,1,1,1,28
cement,8,4,3,1,5,32,1,29,0,2,22,10,6,4,4,4,29,1,1,1,0,10,6,7,4,2,2,198
chemicals,2,3,2,0,1,7,0,3,0,0,4,4,1,1,2,0,2,1,0,0,5,7,1,3,1,0,0,50
food-beverage-tobacco,4,38,2,0,23,55,14,86,0,2,173,197,3,3,3,16,37,4,0,0,69,121,30,2,2,0,2,886
glass,5,11,6,0,14,58,6,49,1,7,43,30,1,0,7,0,47,2,2,0,9,32,8,4,3,5,3,353
iron-and-steel,2,4,1,0,2,19,0,14,0,3,11,6,4,0,1,0,22,0,2,0,1,6,2,6,2,1,4,113
lime,0,1,0,0,1,8,1,3,0,6,12,0,0,0,2,1,24,1,0,0,0,0,5,2,2,0,1,70
other-metals,0,1,0,0,0,10,0,9,0,0,19,0,1,0,1,0,0,0,0,0,1,0,0,1,2,1,3,49
petrochemical-steam-cracking,1,2,1,0,1,9,0,3,0,1,6,3,0,0,1,0,3,0,0,0,3,1,1,0,1,0,1,38
pulp-and-paper,5,1,3,0,2,12,0,3,1,19,9,0,0,2,1,0,4,0,0,0,0,3,6,0,2,1,13,87
textiles-leather-apparel,8,10,34,0,6,23,3,31,2,0,9,68,18,3,0,0,198,14,0,1,13,25,112,31,2,5,5,621
Total,35,75,52,1,55,239,25,233,4,40,315,319,36,13,22,23,366,23,5,2,102,205,171,59,22,16,35,2493
